role,company
https://www.linkedin.com//in/scott-bowie-6905403/,microsoft
https://www.linkedin.com//in/julia-fidler-068aa4/,microsoft
https://www.linkedin.com//in/ryan-carver-18204a5/,microsoft
https://www.linkedin.com//in/evangelinemarzec/,microsoft
https://www.linkedin.com//in/anna-weber-microsoft/,microsoft
https://www.linkedin.com//in/sherrie-xu-16492718/,microsoft
https://www.linkedin.com//in/lizcomley/,microsoft
https://www.linkedin.com//in/alberto-arribas-74294b4/,microsoft
https://www.linkedin.com//in/rogerullman/,microsoft
https://www.linkedin.com//in/clarew/,microsoft
https://www.linkedin.com//in/cklohdigital/,microsoft
https://www.linkedin.com//in/jeannettesorice/,microsoft
https://www.linkedin.com//in/petracicek/,microsoft
https://www.linkedin.com//in/candinaweston/,microsoft
https://www.linkedin.com//in/clara-mansilha/,microsoft
https://www.linkedin.com//in/michellepatron/,microsoft
https://www.linkedin.com//in/wendy-phippen-4ba90633/,microsoft
https://www.linkedin.com//in/jethlee/,microsoft
https://www.linkedin.com//in/chris-dall/,microsoft
https://www.linkedin.com//in/shannonwojcik/,microsoft
https://www.linkedin.com//in/fjklebon/,microsoft
https://www.linkedin.com//in/potterbrandon/,microsoft
https://www.linkedin.com//in/clarafeuillet/,microsoft
https://www.linkedin.com//in/adinabraha/,microsoft
https://www.linkedin.com//in/denamcnulty/,microsoft
https://www.linkedin.com//in/neerusanghi/,microsoft
https://www.linkedin.com//in/marc-pisan-6538131/,microsoft
https://www.linkedin.com//in/morgan-collins-34611339/,microsoft
https://www.linkedin.com//in/jcourgenay/,microsoft
https://www.linkedin.com//in/dr-noelia-jim%C3%A9nez-mart%C3%ADnez/,microsoft
https://www.linkedin.com//in/vani-hans-a3865aa2/,microsoft
https://www.linkedin.com//in/erin-duffy-710a654/,microsoft
https://www.linkedin.com//in/lalitjoshi1/,microsoft
https://www.linkedin.com//in/nevenka-scott-109b8333/,microsoft
https://www.linkedin.com//in/ujjwalk/,microsoft
https://www.linkedin.com//in/ricardoabcrosado/,microsoft
https://www.linkedin.com//in/teresanick/,microsoft
https://www.linkedin.com//in/jeffrey-loth-3826615/,microsoft
https://www.linkedin.com//in/sahilkumar1690/,microsoft
https://www.linkedin.com//in/dan-miller-9571873/,microsoft
https://www.linkedin.com//in/matilde-alves/,microsoft
https://www.linkedin.com//in/tamarai-gv-3a17a9/,microsoft
https://www.linkedin.com//in/jasonoppler/,microsoft
https://www.linkedin.com//in/maggie-swanson-38749829/,microsoft
https://www.linkedin.com//in/agusa/,microsoft
https://www.linkedin.com//in/mark-sch%C3%BCtz-00632215/,microsoft
https://www.linkedin.com//in/simon-francis-a9849a/,microsoft
https://www.linkedin.com//in/nidhi-suresh-1851273/,microsoft
https://www.linkedin.com//in/aina-bolstad-56a6223/,microsoft
https://www.linkedin.com//in/carlos-rodriguez-sang%C3%BCesa-bb9a725/,microsoft
https://www.linkedin.com//in/harsh-naik-7b636b1/,microsoft
https://www.linkedin.com//in/tim-hopper-8302811/,microsoft
https://www.linkedin.com//in/ingowilliam/,microsoft
https://www.linkedin.com//in/arcotdineshkumar/,microsoft
https://www.linkedin.com//in/michael-jackson-6058aa2a/,microsoft
https://www.linkedin.com//in/darraghbclear/,microsoft
https://www.linkedin.com//in/amy-willows-draves2018/,microsoft
https://www.linkedin.com//in/jane-kamneva-3401223/,microsoft
https://www.linkedin.com//in/brandonmiddaugh/,microsoft
https://www.linkedin.com//in/matthewsekol/,microsoft
https://www.linkedin.com//in/sapana-mandore-b6642468/,microsoft
https://www.linkedin.com//in/john-michael-mccaffrey-97514958/,microsoft
https://www.linkedin.com//in/arnay-agarwal/,microsoft
https://www.linkedin.com//in/seantwaters/,microsoft
https://www.linkedin.com//in/dawnejames/,microsoft
https://www.linkedin.com//in/gabrielle-skladman-896709109/,microsoft
https://www.linkedin.com//in/senthil-b-a19b0b1/,microsoft
https://www.linkedin.com//in/bilal-khursheed-2b9282146/,microsoft
https://www.linkedin.com//in/cassie-pemberton-774a5a8/,microsoft
https://www.linkedin.com//in/bengtrosingborren/,microsoft
https://www.linkedin.com//in/yves-fontana/,microsoft
https://www.linkedin.com//in/jackiebach/,microsoft
https://www.linkedin.com//in/kalifrost/,microsoft
https://www.linkedin.com//in/janetkim425/,microsoft
